NULL,3,1,1,\func NOW()
NULL,3,2,4,\func NOW()
NULL,3,3,7,\func NOW()
NULL,3,4,11,\func NOW()
NULL,3,5,14,\func NOW()
NULL,3,6,15,\func NOW()
NULL,3,7,69,\func NOW()
NULL,3,8,18,\func NOW()
NULL,3,9,21,\func NOW()
NULL,3,10,22,\func NOW()
NULL,3,11,24,\func NOW()
NULL,3,12,25,\func NOW()
NULL,3,13,27,\func NOW()
NULL,3,14,28,\func NOW()
NULL,3,15,222,\func NOW()
NULL,3,16,30,\func NOW()
NULL,3,17,31,\func NOW()
NULL,3,18,32,\func NOW()
NULL,3,19,33,\func NOW()
NULL,3,20,34,\func NOW()
NULL,3,21,35,\func NOW()
NULL,3,22,37,\func NOW()
NULL,3,23,38,\func NOW()
NULL,3,24,39,\func NOW()
NULL,3,25,40,\func NOW()
NULL,3,26,41,\func NOW()
NULL,3,27,43,\func NOW()
NULL,3,28,44,\func NOW()
NULL,3,29,46,\func NOW()
NULL,3,30,47,\func NOW()
NULL,3,31,48,\func NOW()
NULL,4,500,1185,\func NOW()
NULL,4,501,453,\func NOW()